24000,.1
23960,.1
23940,.1
23920,.2
23900,.2
23880,.2
23860,.2
23840,.2
23820,.2
23800,.2
23780,.2
23760,.2
23740,.2
23720,.2
23700,.2
23680,.3
23660,.3
23640,.3
23620,.3
23600,.3
23580,.3
23560,.3
23540,.3
23520,.3
23500,.3
23480,.4
23460,.4
23440,.4
23420,.4
23400,.4
23380,.4
23360,.5
23340,.5
23320,.5
23300,.5
23280,.5
23260,.5
23240,.6
23220,.6
23200,.6
23180,.6
23160,.6
23140,.7
23120,.7
23100,.7
23080,.8
23060,.8
23040,.8
23020,.9
23000,.9
22980,.9
22960,1
22940,1
22920,1
22900,1.1
22880,1.1
22860,1.1
22840,1.2
22820,1.2
22800,1.3
22780,1.3
22760,1.4
22740,1.4
22720,1.5
22700,1.5
22680,1.6
22660,1.6
22640,1.7
22620,1.7
22600,1.8
22580,1.9
22560,1.9
22540,2
22520,2.1
22500,2.1
22480,2.2
22460,2.3
22440,2.4
22420,2.5
22400,2.6
22380,2.6
22360,2.7
22340,2.8
22320,2.9
22300,3
22280,3.1
22260,3.2
22240,3.3
22220,3.4
22200,3.6
22180,3.7
22160,3.8
22140,3.9
22120,4
22100,4.1
22080,4.3
22060,4.4
22040,4.5
22020,4.7
22000,4.8
21980,5
21960,5.2
21940,5.3
21920,5.4
21900,5.6
21880,5.8
21860,6
21840,6.1
21820,6.2
21800,6.4
21780,6.7
21760,6.8
21740,6.9
21720,7.1
21700,7.3
21680,7.6
21660,7.8
21640,7.9
21620,8.1
21600,8.3
21580,8.7
21560,8.9
21540,9
21520,9.2
21500,9.5
21480,9.9
21460,10.1
21440,10.3
21420,10.5
21400,10.7
21380,11.2
21360,11.4
21340,11.7
21320,11.9
21300,12.2
21280,12.7
21260,13
21240,13.3
21220,13.5
21200,13.9
21180,14.4
21160,14.8
21140,15.1
21120,15.5
21100,15.9
21080,16.5
21060,16.9
21040,17.3
21020,17.7
21000,18.1
20980,18.9
20960,19.3
20940,19.8
20920,20.3
20900,20.7
20880,21.7
20860,22.2
20840,22.7
20820,23.2
20800,23.6
20780,24.7
20760,25.2
20740,25.7
20720,26.2
20700,26.7
20680,27.8
20660,28.3
20640,28.8
20620,29.3
20600,29.7
20580,30.7
20560,31.2
20540,31.7
20520,32.1
20500,32.5
20480,33.3
20460,33.7
20440,34.1
20420,34.4
20400,34.8
20380,35.3
20360,35.6
20340,35.9
20320,36.1
20300,36.3
20280,36.7
20260,36.9
20240,37.1
20220,37.3
20200,37.4
20180,37.6
20160,37.8
20140,37.9
20120,38
20100,38.1
20080,38.2
20060,38.4
20040,38.5
20020,38.6
20000,38.7
19980,38.9
19960,39.1
19940,39.2
19920,39.3
19900,39.5
19880,39.8
19860,40
19840,40.2
19820,40.4
19800,40.7
19780,41.2
19760,41.4
19740,41.7
19720,42
19700,42.4
19680,43.1
19660,43.5
19640,44
19620,44.4
19600,44.9
19580,45.9
19560,46.5
19540,47
19520,47.5
19500,48.1
19480,49.3
19460,49.9
19440,50.6
19420,51.4
19400,53
19380,53.8
19360,54.5
19340,55.4
19320,56.3
19300,58
19280,59
19260,59.9
19240,60.8
19220,61.8
19200,63.7
19180,64.7
19160,65.7
19140,66.7
19120,67.6
19100,69.5
19080,70.4
19060,71.2
19040,72.1
19020,72.9
19000,74.5
18980,75.2
18960,75.8
18940,76.5
18920,77.1
18900,78
18880,78.4
18860,78.8
18840,79
