548.2456140350877,0,0.5252293117385257,Infinity,-,Infinity,Infinity,,Infinity
629.7229219143577,0.4393147156092314,0.622,2.817390641798495,-,14.725986993770745,15,1676.3461354236567,2.847020607291039
642.6735218508998,0.493,0.7017151334547163,2.734699655736723,0,14.005740498122314,14.5,1703.8006435715129,2.8087187876385373
660.5019815059445,0.5409145479948294,0.8370000000000001,2.799166152526207,2117.937033544246,13.948946222607491,14,1651.7468483851728,2.7870965275779116
678.42605156038,0.57,0.8772378629673493,2.7490144762303124,2461.2921643439313,13.337098453239717,13.5,1665.8245664505207,2.760489723161705
699.3006993006993,0.5827700427168369,0.9009999999999999,2.7382421633493395,1551.5843070045578,12.8882733230487,13,1659.9899768889236,2.740041651138285
721.5007215007215,0.59,0.9119355718038171,2.7282743771253246,1847.3426166905388,12.446238571076274,12.5,1652.8321151228438,2.7182952888276635
746.2686567164179,0.5944737468434174,0.917,2.7195868791436593,1842.0285487190665,11.994843399302477,12,1646.4309247250133,2.6991455070914445
773.9938080495356,0.598,0.9152166745632547,2.7038821020549437,1736.2762331469362,11.498392027765805,11.5,1645.9535690933,2.682780718800255
805.1529790660226,0.6020046446251052,0.9129999999999999,2.6857801836902295,1620.7065098791902,10.979407590419894,11,1648.8100596448057,2.6694447647965576
838.9261744966443,0.606,0.9136860190631387,2.6723746973689795,1623.666370904408,10.48480730659938,10.5,1648.1081116520031,2.6549900227053005
875.6567425569177,0.6109550837422919,0.915,2.656637145604976,1656.4004739715397,9.985853524430947,10,1648.054842577139,2.639269541376631
